trimestre,div_01,div_02,div_03,div_04,div_05,div_06,div_07,div_08,div_09,div_10,div_11,div_12
2017Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017Q2,106.7986727232918,106.60142295794842,105.58442250787836,103.98977474231934,105.76510747707898,106.75369210931372,107.48984488957217,103.61524401524495,105.10783633074416,105.8756720748075,106.20585157075317,105.31370813381378
2017Q3,113.6780977448651,114.00394447475043,112.5330410751535,107.07724378356525,112.46389849027113,113.47318297958687,115.08138099740137,105.91939140032805,110.30115777861452,111.87371569024727,112.41888933682283,111.7087879158312
2017Q4,119.98365431418483,121.02685174802431,118.66766556217442,111.48140932925264,119.0614609373317,120.74022132403852,122.5524169230836,108.63881022368484,116.33397624388603,118.57852904547046,118.97796830881289,118.21664262305234
2018Q1,132.23482515408276,134.51143805065757,129.274715306923,117.832834231585,130.70361723582505,134.1061506072467,136.84870623378117,114.81136625324464,127.1792642090532,130.84322528992826,130.7432611850032,129.036540110791
2018Q2,147.21136890394197,148.76604119371564,142.87423895597556,125.23999496068826,142.98186267760224,148.92049553440248,154.3736836423748,122.19541770355704,138.82727080768234,143.39261603125001,144.21418989232194,141.86857427266335
2018Q3,160.88238877230248,163.845212969367,156.87350977300048,134.15887951377883,156.89133194438242,166.38856382869312,173.5901647924571,129.42636743912072,150.86796974578996,156.76658897063717,158.6661953853563,156.16968439122843
2018Q4,177.4300171518693,181.54795109620994,172.4620072333841,142.38602726702484,173.00763666028004,185.85215969993146,194.74179619203727,136.10318192142768,166.14586812019792,172.1487227084476,176.95760514565094,170.9287466186202
2019Q1,199.0462595933867,204.0361195720845,190.71062895350667,152.92348247809767,190.87961204395577,208.00672593819306,219.70643424610992,143.18595583912014,182.40400655939368,189.8974927425516,195.72529309512834,188.60706672816636
2019Q2,221.1734954008762,229.06991202078467,210.1574272975308,164.63186939014457,210.96330412446918,232.60493351273553,248.71168788660427,152.38041734971475,201.71879756000808,211.28300629501348,217.2273503113603,206.6437761413391
2019Q3,245.9682760040099,256.7738213236525,234.59373158685793,176.6324961926124,233.27669921814692,257.7762128869383,279.9801332964487,161.53803607434102,221.7144087809209,234.07337550066686,241.88111830897012,227.81700104352444
2019Q4,274.2611348734154,290.91493756049846,259.5910203339368,188.0509494182629,257.9850468588371,288.2596415196452,316.16485409143684,171.78819325313611,245.62444189346672,257.7669826301697,270.632911591245,251.29182672736925
2020Q1,299.34422125977875,317.1160636424933,282.51414371627436,197.5169873320729,275.7706793308452,312.21681715466707,346.1290566904816,179.44590855213903,265.46577842127846,277.93904370460154,292.8061950174156,270.69831475610715
2020Q2,323.53287774230574,346.57414179077284,306.25565511828864,209.72295579980482,294.14132423876384,339.13798624950283,378.7315756903772,187.3681250365851,284.47629571165965,299.9064910761957,318.3915467442598,291.0434229215575
2020Q3,349.99142566730967,380.95107930208417,330.27412521561786,218.50505658616618,314.9964514167713,369.64613449644736,416.9012837399399,198.38408305060753,303.36023656181334,324.57250379139174,343.5654865875556,313.51783524040326
2020Q4,378.63060931239295,412.0098582778313,354.90282790485867,229.56601633581928,339.2006878599175,402.5024866298889,453.96646370479164,207.10690227132847,327.47098556916563,350.3023990488953,372.5268393972446,339.7500140515033
2021Q1,422.5629865468086,455.19098777205664,389.09334654324505,243.85408114485566,372.3640951690284,446.7174491723968,506.47805320998793,218.33287798630158,361.65208046705385,388.6057357587705,414.89066810357065,371.12607377411166
2021Q2,471.5523744377024,509.2306068777025,425.643757783375,259.8518201056649,406.7506634486895,496.30215263919,563.7741731585139,230.20860508140524,396.76071208737847,426.4584528753064,456.4466476600194,405.47198770484937
2021Q3,523.4326937517022,563.2139837792834,472.6499674281875,277.71431436232103,448.1929784507947,550.5824268177979,627.939135015595,242.19840249304724,434.7714683306192,468.9712462203867,505.3310969599662,441.3376772256875
2021Q4,579.4038395316827,625.2511120469575,520.3035798815662,297.9995273418974,490.45045907174097,611.6888695777999,703.6813289790078,256.71835765694414,477.8568004416271,515.627060247325,558.9136966923157,483.2456456107507
2022Q1,691.0473361232922,752.3937872273158,616.9505045671813,332.46282641544343,574.367307526312,722.921263827515,850.045495432209,281.6793989070697,561.3982466214978,607.7112768768721,658.2563166559106,568.2408541119615
2022Q2,826.8061146352309,904.7185668735874,724.0921279587684,372.7113435789412,672.0270845828777,865.0862841156072,1036.8594362435556,310.4613191941961,655.0703824050628,717.5320748853499,780.7282925911846,660.4348916109309
2022Q3,979.2037044779003,1091.7912336724987,855.0841415524726,417.2498648818424,787.3940642204774,1035.893891178661,1259.541508135488,341.63878095483443,764.9284652905243,848.6296024430685,932.7015513693725,771.170482207191
2022Q4,1170.0300854066402,1316.1305537271874,1014.0351423559849,467.0577058027383,924.8119427236749,1239.2333269964781,1532.0356826932127,377.5432844890636,898.0685618514397,1007.0691680329038,1109.6120803515932,903.1792159378542
2023Q1,1555.8248035793906,1786.4458104718153,1336.8278244815626,562.8887835211779,1209.032794557154,1674.093026741777,2122.8083802124993,444.7840824847502,1170.4347353549822,1321.4295544902047,1475.7159979204048,1181.5846738620025
